date,source,art_ind
1999 г.,Lenta,3077
2000 г.,Lenta,11178
2001 г.,Lenta,15689
2002 г.,Lenta,337
2015 г.,Новости 33,569
2016 г.,Новости 33,2632
2017 г.,Новости 33,2494
2018 г.,Новости 33,2023
2019 г.,Lenta,10637
2019 г.,ria.ru,229
2019 г.,Новости 33,928
2020 г.,Lenta,10702
2020 г.,meduza.io,1488
2020 г.,ria.ru,14516
2020 г.,tjournal.ru,857
2021 г.,Lenta,7550
